uf;porte_do_cliente;setor_bndes;produto;ano;;desembolsos_reais
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2003;sum;238500.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2004;count;17.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2004;sum;2041000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2005;count;15.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2005;sum;1881000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2006;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2006;sum;18000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2011;count;2.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2011;sum;242000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2012;count;52.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2012;sum;44288880.39000001
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;count;59.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2013;sum;28681804.41
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;count;71.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2014;sum;28034568.25
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2015;count;71.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2015;sum;32642422.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2016;count;30.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2016;sum;9786431.25
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;count;21.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2017;sum;2510000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;count;5.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2018;sum;484000.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2019;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2019;sum;23400.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2020;count;5.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES AUTOMÁTICO;2020;sum;455650.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;1995;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;1995;sum;92207.83
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;1998;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;1998;sum;35711.98
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;1999;count;1.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;1999;sum;76963.35
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2000;count;6.0
AC;MICRO;COMÉRCIO E SERVIÇOS;BNDES FINAME;2000;sum;339514.01
