"ano";"mes";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame";"cartao_bndes"
2013;1;"116763,7051748";"13076,1843729";"0,0";"832305,340742097";"2731749,4762764";"325311,084339602"
2013;2;"155021,1307672";"388869,1330117";"0,0";"599551,568047005";"2372552,92117422";"374146,329042659"
2013;3;"328933,3860864";"1191418,424451";"0,0";"511268,7447793";"3112215,33319848";"358754,467518998"
2013;4;"250625,3876115";"741864,2170331";"0,0";"862767,350831191";"3308315,19445548";"432561,6701578"
2013;5;"501176,3629507";"432332,7202515";"0,0";"759392,922711999";"3210781,92995736";"395901,082694398"
2013;6;"578909,2278559";"236712,5748102";"0,0";"517433,919339305";"2413890,4710088";"367730,320443098"
2013;7;"198632,5052057";"323996,2792036";"0,0";"289018,707263806";"2660038,15403859";"372594,337243401"
2013;8;"570036,4856096";"232795,4342845";"0,0";"214639,485003401";"2503581,83667282";"372508,515944504"
2013;9;"512680,4419537";"415579,1314165";"0,0";"440583,872656191";"2401604,0905212";"407899,3484325"
2013;10;"264248,7101635";"227027,4739716";"0,0";"532718,448068592";"2616281,57522858";"432053,656556502"
2013;11;"565977,5437074";"113986,6174602";"0,0";"557825,437502491";"2651475,00653732";"385926,289398806"
2013;12;"1060664,9054134";"284592,9793657";"0,0";"738111,513934307";"2819415,12128471";"424474,950869994"
2014;1;"198957,2570319";"274943,196956";"0,0";"418300,473013103";"3269455,01209477";"308328,0786441"
2014;2;"149328,2485918";"45113,1428266";"0,0";"328633,843421397";"2696835,88173928";"363011,227004896"
2014;3;"817724,8719868";"9924,7372291";"0,0";"368992,296343388";"2170444,9883337";"342074,443966396"
2014;4;"291455,6305811";"0,0";"0,0";"382030,314546206";"1723907,6861857";"439337,161630795"
2014;5;"179974,3667419";"1769,0975642";"0,0";"332048,7906025";"1735415,34695349";"362209,235980201"
2014;6;"447904,1538764";"906,9472156";"0,0";"330032,609377799";"1750199,640695";"446995,561744302"
2014;7;"330933,2859819";"496501,828257";"0,0";"377423,674342099";"2271914,4075534";"384397,748562601"
2014;8;"536699,7073364";"374959,2741768";"0,0";"291565,627731501";"2188564,17060679";"446457,721893097"
2014;9;"476336,1769943";"346101,3481747";"0,0";"518250,192602197";"2412317,1356509";"454740,3948558"
2014;10;"698517,0804656";"135380,8017229";"0,0";"607202,787575401";"2212566,96514529";"468091,364793498"
2014;11;"187070,6225767";"82599,2663836";"0,0";"343458,9238456";"1560876,16989801";"434982,445322003"
2014;12;"503962,1225187";"145103,1996004";"0,0";"497775,996182098";"3348350,99337494";"434829,927431397"
2015;1;"78655,7751564";"63623,7977141";"0,0";"262701,9802339";"1591694,00112579";"327219,114250199"
2015;2;"213345,8955514";"40476,0424969";"0,0";"262383,6033239";"1156322,7691277";"352220,525202493"
2015;3;"207994,5306403";"409,4626351";"0,0";"262352,518342301";"1476990,1484943";"284727,656384898"
2015;4;"267956,6849987";"16123,3110799";"0,0";"266724,3391301";"735775,529532899";"369714,741903897"
2015;5;"205471,0005932";"2650,235";"0,0";"391958,740639003";"753544,8552474";"299868,192520497"
2015;6;"415185,1424822";"418,8684044";"0,0";"468992,381674297";"776708,637678199";"333784,506266403"
2015;7;"64865,7757099";"4787,2520035";"0,0";"171912,949615";"649379,604834297";"346105,103374302"
2015;8;"127612,3206261";"16599,995988";"0,0";"254556,422050701";"569586,9480723";"248444,780504301"
2015;9;"221273,8716804";"1472,955255";"0,0";"213894,704266998";"563276,0369336";"235472,374634402"
2015;10;"134665,7321774";"5106,6835682";"0,0";"254737,408746798";"742063,677949802";"233840,584253801"
2015;11;"192136,0040621";"20296,5618794";"0,0";"312059,4369715";"606384,540157302";"209411,646790902"
2015;12;"382453,4757017";"167106,5386561";"0,0";"412391,561024902";"585125,448844801";"220935,552879699"
2016;1;"36200,5002579";"92535,7364742";"0,0";"303047,795504298";"430222,910280803";"134387,389114701"
2016;2;"65029,070697";"57951,4372178";"0,0";"237430,305284399";"320775,8309469";"149883,037320901"
2016;3;"42211,7424906";"0,0";"0,0";"257674,522040801";"415054,688615401";"156135,680860499"
2016;4;"66463,8049303";"511,7635428";"0,0";"263370,2382734";"423031,376933403";"164051,907744902"
2016;5;"143250,8716657";"92299,2086259";"0,0";"226495,842763901";"380895,627629099";"153768,803250601"
2016;6;"153681,2881165";"352246,1625786";"0,0";"274901,669652998";"397224,5766561";"130796,2288238"
2016;7;"136536,1693859";"893688,0510399";"0,0";"307796,071939798";"376076,9580074";"130844,8473852"
2016;8;"40313,3086189";"634558,9521235";"0,0";"293342,711726998";"409048,703558202";"144754,9136161"
2016;9;"22249,4906223";"229843,1605751";"0,0";"310272,478605102";"407959,054266202";"118465,923824"
2016;10;"112074,2272217";"139986,2981321";"0,0";"366822,2656979";"556899,7113347";"117286,228498301"
2016;11;"40145,7206244";"60563,4682988";"0,0";"382619,041395701";"448103,0502925";"109661,117911699"
2016;12;"79603,3522448";"91098,8798834";"0,0";"495958,027903704";"532097,665180898";"92196,0688516001"
2017;1;"96657,7024615";"1866,6080314";"0,0";"473834,880495499";"447998,688352098";"69952,5107963001"
2017;2;"34047,552013";"1897,8007111";"0,0";"421619,843367502";"373262,991436299";"75203,0101797996"
2017;3;"29806,8319285";"7141,0095284";"0,0";"371629,7959875";"467743,503839799";"67135,6621099997"
2017;4;"272228,5790399";"3212,9212678";"0,0";"351375,3030379";"449238,918482299";"85091,7589844"
2017;5;"236216,3597985";"22927,9899162";"0,0";"395484,6137694";"463581,817755398";"70458,9395338999"
2017;6;"94186,9076902";"918,9097047";"0,0";"445879,777102793";"528150,5622645";"74409,8356164997"
2017;7;"63907,276533";"5951,2154874";"0,0";"457912,0122556";"731677,559813399";"74638,8870462002"
2017;8;"69517,823855";"1359,9805068";"0,0";"361448,799109495";"550357,194379899";"74332,8943422999"
2017;9;"26809,7671624";"0,0";"0,0";"286554,595301993";"487661,136170299";"65191,5235767"
2017;10;"133529,7196031";"1449,1537373";"0,0";"369643,310092299";"524089,384555103";"64760,3641479"
2017;11;"57285,9476146";"0,0";"0,0";"385649,619780502";"507517,200173299";"66197,1226121999"
